	subject	seqmethod	assembler	pipeline_x	group_x	Sample	Bin	Genes	X..contigs.....0.bp.	X..contigs.....10000.bp.	X..contigs.....50000.bp.	X..contigs.....100000.bp.	X..contigs.....250000.bp.	X..contigs.....500000.bp.	X..contigs.....1000000.bp.	X..contigs.....2000000.bp.	X..contigs.....3000000.bp.	Total.length.....0.bp.	Total.length.....10000.bp.	Total.length.....50000.bp.	Total.length.....100000.bp.	Total.length.....250000.bp.	Total.length.....500000.bp.	Total.length.....1000000.bp.	Total.length.....2000000.bp.	Total.length.....3000000.bp.	X..contigs	Largest.contig	Total.length	N50	N75	L50	L75	X..N.s.per.100.kbp	Marker.lineage	X..genomes	X..markers	X..marker.sets	X0	X1	X2	X3	X4	X5.	Completeness	Contamination	Strain.heterogeneity	tRNA	rna.16S	rna.23S	rna.5S	Majority.Class	Majority.Fraction	Size.Mb	Final.Class	Coverage	quality	binmethod	sample	binname	pipeline_y	bin	group_y	16S_RNA	23S_RNA	5S_RNA	16S_RNA_avglen	23S_RNA_avglen	5S_RNA_avglen	suffix
10	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.167	1049	27	23	7	3	0	0	0	0	0	1170068	1144545	682082	398372	0	0	0	0	0	27	143290	1170068	63850	35905	6	12	0.0	o__Selenomonadales (UID1024)	64	334	167	159	175	0	0	0	0	50.3	0.0	0.0	33.0	0	0	2	Megasphaera_elsdenii	99.48	1.17	Megasphaera_elsdenii	1307.22493649942	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.167	mNGS_metaSPAdes	bin.167.fa	mNGS	0.0	0.0	1.0	0.0	0.0	110.0	
11	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.168	1448	105	50	4	0	0	0	0	0	0	1573578	1262652	256762	0	0	0	0	0	0	105	82101	1573578	24065	11928	22	43	0.0	k__Bacteria (UID203)	5449	103	57	66	36	1	0	0	0	57.89	1.75	0.0	34.0	0	0	0	Anaerostipes_hadrus	98.395	1.57	Anaerostipes_hadrus	49.3807068985459	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.168	mNGS_metaSPAdes	bin.168.fa	mNGS	0.0	0.0	0.0				
12	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.185	1873	41	37	14	6	0	0	0	0	0	2088167	2059242	1363900	821924	0	0	0	0	0	41	176355	2088167	73887	39540	9	19	0.0	o__Clostridiales (UID1212)	172	263	149	20	242	1	0	0	0	90.94	0.67	0.0	33.0	0	0	1	unclassified_Clostridiales	13.22	2.09	unclassified	36.8654887276736	complete	Metabat2	A_mNGS_metaSPAdes+polish	bin.185	mNGS_metaSPAdes	bin.185.fa	mNGS	0.0	0.0	1.0	0.0	0.0	112.0	
13	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.187	1816	53	36	16	7	0	0	0	0	0	2121740	2020054	1438064	856849	0	0	0	0	0	53	161752	2121740	65560	41379	10	20	0.0	o__Clostridiales (UID1226)	155	278	158	95	183	0	0	0	0	62.66	0.0	0.0	23.0	0	0	0	Blautia_sp.	85.338	2.12	Blautia_sp.	23.4200241311377	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.187	mNGS_metaSPAdes	bin.187.fa	mNGS	0.0	0.0	0.0				
14	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.188	1487	45	36	15	2	0	0	0	0	0	1755733	1701714	1127241	232773	0	0	0	0	0	45	132032	1755733	63959	39895	11	20	0.0	p__Actinobacteria (UID2112)	31	211	124	13	198	0	0	0	0	98.39	0.0	0.0	39.0	0	0	0	Collinsella_aerofaciens	84.441	1.76	Collinsella_aerofaciens	15.4525295133144	complete	Metabat2	A_mNGS_metaSPAdes+polish	bin.188	mNGS_metaSPAdes	bin.188.fa	mNGS	0.0	0.0	0.0				
15	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.194	2258	188	92	4	0	0	0	0	0	0	2627912	2037268	230626	0	0	0	0	0	0	188	61370	2627912	20930	10669	39	86	0.0	o__Clostridiales (UID1226)	155	278	158	85	193	0	0	0	0	84.58	0.0	0.0	22.0	0	0	0	Anaerobutyricum_hallii	17.142	2.63	Anaerobutyricum	19.200324820618	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.194	mNGS_metaSPAdes	bin.194.fa	mNGS	0.0	0.0	0.0				
16	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.24	1545	98	33	13	1	0	0	0	0	0	1763879	1482653	950035	114937	0	0	0	0	0	98	114937	1763879	50903	25319	12	25	0.0	o__Clostridiales (UID1226)	155	278	158	145	121	12	0	0	0	55.38	6.96	91.67	29.0	0	0	0	Blautia_sp.	16.479	1.76	Blautia	35.2531658917647	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.24	mNGS_metaSPAdes	bin.24.fa	mNGS	0.0	0.0	0.0				
17	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.26	2682	86	71	22	4	0	0	0	0	0	3234266	3148251	1822396	535629	0	0	0	0	0	86	147108	3234266	58996	37422	19	36	0.0	c__Deltaproteobacteria (UID3218)	61	284	169	5	279	0	0	0	0	97.49	0.0	0.0	31.0	0	0	0	Desulfovibrio_fairfieldensis	99.081	3.23	Desulfovibrio_fairfieldensis	17.9952227182303	complete	Metabat2	A_mNGS_metaSPAdes+polish	bin.26	mNGS_metaSPAdes	bin.26.fa	mNGS	0.0	0.0	0.0				
18	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.32	2914	122	84	15	1	0	0	0	0	0	2989632	2754827	1119605	146419	0	0	0	0	0	122	146419	2989632	38249	20708	24	50	0.0	o__Rhizobiales (UID3654)	92	481	319	11	466	4	0	0	0	98.42	0.47	0.0	20.0	0	0	0	Methylovirgula_ligni	94.11	2.99	Methylovirgula_ligni	13.5313637263717	complete	Metabat2	A_mNGS_metaSPAdes+polish	bin.32	mNGS_metaSPAdes	bin.32.fa	mNGS	0.0	0.0	0.0				
19	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.35	4956	295	170	24	3	0	0	0	0	0	5601606	4832910	1787685	369968	0	0	0	0	0	295	140928	5601606	28732	15037	51	120	0.0	k__Bacteria (UID203)	5449	103	57	69	30	4	0	0	0	51.2	7.02	75.0	30.0	0	0	0	Lachnoclostridium_sp.	66.193	5.6	Lachnoclostridium_sp.	23.3244492740118	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.35	mNGS_metaSPAdes	bin.35.fa	mNGS	0.0	0.0	0.0				
20	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.42	1048	9	9	5	4	1	0	0	0	0	1179919	1179919	1040970	960775	451715	0	0	0	0	9	451715	1179919	233468	123824	2	4	0.0	o__Clostridiales (UID1212)	172	263	149	111	152	0	0	0	0	56.04	0.0	0.0	29.0	0	0	1	Roseburia_intestinalis	38.284	1.18	Roseburia	51.019208098183	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.42	mNGS_metaSPAdes	bin.42.fa	mNGS	0.0	0.0	1.0	0.0	0.0	98.0	
21	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.5	3177	130	108	20	4	0	0	0	0	0	3852741	3696273	1637802	518354	0	0	0	0	0	130	176524	3852741	38904	23799	27	59	0.0	k__Bacteria (UID2569)	434	278	186	7	271	0	0	0	0	96.77	0.0	0.0	37.0	0	0	2	Odoribacter_splanchnicus	99.776	3.85	Odoribacter_splanchnicus	16.1565841046673	complete	Metabat2	A_mNGS_metaSPAdes+polish	bin.5	mNGS_metaSPAdes	bin.5.fa	mNGS	0.0	0.0	1.0	0.0	0.0	99.0	
22	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.55	1662	32	30	13	5	0	0	0	0	0	1771382	1755993	1364505	749400	0	0	0	0	0	32	201510	1771382	94835	55433	7	13	0.0	p__Proteobacteria (UID3887)	1487	255	158	24	230	1	0	0	0	88.61	0.11	0.0	34.0	0	0	1	Burkholderiales_bacterium	66.637	1.77	Burkholderiales_bacterium	52.1711381283089	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.55	mNGS_metaSPAdes	bin.55.fa	mNGS	0.0	0.0	1.0	0.0	0.0	103.0	
23	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.58	2929	514	76	0	0	0	0	0	0	0	3257699	1107720	0	0	0	0	0	0	0	514	33118	3257699	7005	4575	140	283	0.0	k__Bacteria (UID203)	5449	103	57	67	36	0	0	0	0	53.86	0.0	0.0	25.0	0	0	0	[Clostridium]_bolteae	26.8	3.26	[Clostridium]	13.3658671350545	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.58	mNGS_metaSPAdes	bin.58.fa	mNGS	0.0	0.0	0.0				
24	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.65	3119	78	69	35	6	0	0	0	0	0	3732500	3674513	2688715	706727	0	0	0	0	0	78	156294	3732500	61859	45163	21	38	0.0	k__Bacteria (UID2569)	434	278	186	10	267	1	0	0	0	94.62	0.54	0.0	38.0	0	0	2	Butyricimonas_faecalis	100.0	3.73	Butyricimonas_faecalis	40.4246880107167	complete	Metabat2	A_mNGS_metaSPAdes+polish	bin.65	mNGS_metaSPAdes	bin.65.fa	mNGS	0.0	0.0	1.0	0.0	0.0	104.0	
25	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.66	5549	107	89	48	23	2	0	0	0	0	6487603	6380547	5282098	3538837	662777	0	0	0	0	107	379469	6487603	107664	58944	21	41	0.0	f__Lachnospiraceae (UID1255)	90	354	174	46	302	6	0	0	0	95.4	2.3	16.67	37.0	0	0	0	Blautia_producta	21.297	6.49	Blautia	17.4009026138005	complete	Metabat2	A_mNGS_metaSPAdes+polish	bin.66	mNGS_metaSPAdes	bin.66.fa	mNGS	0.0	0.0	0.0				
26	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.67	1463	260	26	0	0	0	0	0	0	0	1564916	366887	0	0	0	0	0	0	0	260	43313	1564916	6781	4587	77	148	0.0	k__Bacteria (UID203)	5449	98	58	50	47	1	0	0	0	62.23	1.72	0.0	2.0	0	0	1	Clostridiales_bacterium	16.193	1.56	Clostridiales	10.4608375146014	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.67	mNGS_metaSPAdes	bin.67.fa	mNGS	0.0	0.0	1.0	0.0	0.0	110.0	
27	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.75	2580	15	15	11	8	5	1	0	0	0	2678163	2678163	2565831	2306712	1831842	567539	0	0	0	15	567539	2678163	302514	183644	4	6	0.0	o__Clostridiales (UID1212)	172	257	149	56	201	0	0	0	0	72.51	0.0	0.0	36.0	0	0	1	Flavonifractor_plautii	100.0	2.68	Flavonifractor_plautii	79.3703844762249	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.75	mNGS_metaSPAdes	bin.75.fa	mNGS	0.0	0.0	1.0	0.0	0.0	109.0	
28	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.77	3875	280	171	18	4	0	0	0	0	0	5222344	4587696	1373368	497974	0	0	0	0	0	280	145734	5222344	27513	15507	53	116	0.0	g__Bacteroides (UID2691)	33	839	309	131	686	20	2	0	0	85.23	2.93	38.46	32.0	0	0	2	Bacteroides_ovatus	77.507	5.22	Bacteroides_ovatus	84.0220477624607	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.77	mNGS_metaSPAdes	bin.77.fa	mNGS	0.0	0.0	1.0	0.0	0.0	106.0	
29	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.78	2415	19	19	16	8	2	1	0	0	0	2708546	2708546	2616350	2046815	1060060	781720	0	0	0	19	781720	2708546	200947	100178	4	8	0.0	f__Lachnospiraceae (UID1286)	57	420	207	81	338	1	0	0	0	85.3	0.24	0.0	47.0	0	0	0	Roseburia_hominis	97.61	2.71	Roseburia_hominis	97.9187604714854	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.78	mNGS_metaSPAdes	bin.78.fa	mNGS	0.0	0.0	0.0				
30	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.8	2168	47	41	17	4	1	0	0	0	0	2430515	2392960	1738513	729262	320356	0	0	0	0	47	320356	2430515	91477	43807	10	19	0.0	o__Clostridiales (UID1226)	155	278	158	16	260	2	0	0	0	92.41	0.79	50.0	40.0	0	0	0	Lachnoclostridium_phocaeense	13.562	2.43	Lachnoclostridium	17.6367584647698	complete	Metabat2	A_mNGS_metaSPAdes+polish	bin.8	mNGS_metaSPAdes	bin.8.fa	mNGS	0.0	0.0	0.0				
31	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.80	1945	35	30	13	10	1	0	0	0	0	2353375	2320760	1874379	1599268	360004	0	0	0	0	35	360004	2353375	129719	91347	7	12	0.0	k__Bacteria (UID203)	5449	104	58	70	34	0	0	0	0	51.72	0.0	0.0	39.0	0	0	2	Bacteroides_vulgatus	69.748	2.35	Bacteroides_vulgatus	365.351134009667	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.80	mNGS_metaSPAdes	bin.80.fa	mNGS	0.0	0.0	1.0	0.0	0.0	102.0	
32	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.82	2764	83	54	19	4	0	0	0	0	0	2677696	2520960	1601059	489089	0	0	0	0	0	83	140958	2677696	65195	32011	15	30	0.0	k__Bacteria (UID2372)	131	177	106	25	152	0	0	0	0	90.57	0.0	0.0	52.0	0	0	6	Longibaculum_sp.	87.216	2.68	Longibaculum_sp.	76.063397786754	complete	Metabat2	A_mNGS_metaSPAdes+polish	bin.82	mNGS_metaSPAdes	bin.82.fa	mNGS	0.0	0.0	1.0	0.0	0.0	82.0	
33	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.84	2095	27	27	16	7	2	0	0	0	0	2344442	2344442	2055311	1355944	635458	0	0	0	0	27	369600	2344442	118996	80999	6	12	0.0	o__Burkholderiales (UID4000)	193	412	208	1	408	3	0	0	0	99.52	0.96	66.67	38.0	1	1	1	Oxalobacter_formigenes	100.0	2.34	Oxalobacter_formigenes	15.5748732534223	complete	Metabat2	A_mNGS_metaSPAdes+polish	bin.84	mNGS_metaSPAdes	bin.84.fa	mNGS	1.0	1.0	1.0	1527.0	2872.0	106.0	
34	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.87	1722	17	16	12	6	2	1	0	0	0	1970224	1966891	1876508	1414197	869798	597857	0	0	0	17	597857	1970224	184272	94349	3	7	0.0	k__Bacteria (UID203)	5449	103	57	57	46	0	0	0	0	70.18	0.0	0.0	35.0	0	0	0	[Clostridium]_bolteae	39.697	1.97	[Clostridium]	92.6198944891545	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.87	mNGS_metaSPAdes	bin.87.fa	mNGS	0.0	0.0	0.0				
35	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.88	1579	16	16	13	8	1	0	0	0	0	1892134	1892134	1802177	1423444	326614	0	0	0	0	16	326614	1892134	146619	102683	5	8	0.0	c__Deltaproteobacteria (UID3218)	61	284	169	77	207	0	0	0	0	68.64	0.0	0.0	27.0	0	0	0	Desulfovibrio_vulgaris	88.394	1.89	Desulfovibrio_vulgaris	177.028521764315	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.88	mNGS_metaSPAdes	bin.88.fa	mNGS	0.0	0.0	0.0				
36	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.96	1013	15	12	10	4	0	0	0	0	0	1138564	1127356	1088134	631613	0	0	0	0	0	15	235861	1138564	103812	76402	4	7	0.0	o__Clostridiales (UID1226)	155	278	158	120	156	2	0	0	0	50.84	0.63	0.0	21.0	0	0	0	Blautia_sp.	99.604	1.14	Blautia_sp.	87.796962665252	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.96	mNGS_metaSPAdes	bin.96.fa	mNGS	0.0	0.0	0.0				
37	A	mNGS	metaSPAdes+polish	mNGS_metaSPAdes+polish	mNGS	A_mNGS_metaSPAdes+polish	bin.98	1488	29	27	14	4	0	0	0	0	0	1644552	1628015	1285137	546382	0	0	0	0	0	29	154408	1644552	74981	56382	8	14	0.0	o__Clostridiales (UID1226)	155	278	158	82	196	0	0	0	0	65.51	0.0	0.0	16.0	0	0	0	Blautia_sp.	78.264	1.64	Blautia_sp.	19.4268293127855	medium-quality	Metabat2	A_mNGS_metaSPAdes+polish	bin.98	mNGS_metaSPAdes	bin.98.fa	mNGS	0.0	0.0	0.0				
38	A	Nanopore	metaflye+polish	Nanopore_metaflye+polish	Nanopore	A_Nanopore_metaflye+polish	bin.102	2573	41	37	16	6	0	0	0	0	0	2136656	2107855	1544594	899279	0	0	0	0	0	41	233516	2136656	80934	40087	8	18	0.0	f__Lachnospiraceae (UID1256)	33	333	171	83	250	0	0	0	0	77.4	0.0	0.0	25.0	2	2	0	[Ruminococcus]_gnavus	97.785	2.14	[Ruminococcus]_gnavus	157.885790693495	medium-quality	Metabat2	A_Nanopore_metaflye+polish	bin.102	Nanopore_metaflye	bin.102.fa	Nanopore	1.0	1.0	0.0	1527.0	2884.0	0.0	
39	A	Nanopore	metaflye+polish	Nanopore_metaflye+polish	Nanopore	A_Nanopore_metaflye+polish	bin.105	1477	16	15	10	8	2	0	0	0	0	1640247	1632400	1514561	1400185	528469	0	0	0	0	16	268535	1640247	162228	102174	4	7	0.0	p__Actinobacteria (UID2112)	31	211	124	77	133	1	0	0	0	58.7	0.81	0.0	39.0	3	3	3	Collinsella_aerofaciens	100.0	1.64	Collinsella_aerofaciens	105.347030660626	medium-quality	Metabat2	A_Nanopore_metaflye+polish	bin.105	Nanopore_metaflye	bin.105.fa	Nanopore	2.0	1.0	1.0	1499.5	2959.0	108.0	
40	A	Nanopore	metaflye+polish	Nanopore_metaflye+polish	Nanopore	A_Nanopore_metaflye+polish	bin.109	2696	2	2	2	2	1	1	1	1	0	2930493	2930493	2930493	2930493	2696460	2696460	2696460	2696460	0	2	2696460	2930493	2696460	2696460	1	1	0.0	p__Proteobacteria (UID3887)	1487	255	158	0	254	1	0	0	0	100.0	0.11	0.0	69.0	7	7	7	Burkholderiales_bacterium	100.0	2.93	Burkholderiales_bacterium	49.4187988164449	complete	Metabat2	A_Nanopore_metaflye+polish	bin.109	Nanopore_metaflye	bin.109.fa	Nanopore	2.0	1.0	1.0	1536.5	2881.0	104.0	
41	A	Nanopore	metaflye+polish	Nanopore_metaflye+polish	Nanopore	A_Nanopore_metaflye+polish	bin.11	2236	1	1	1	1	1	1	1	1	0	2365308	2365308	2365308	2365308	2365308	2365308	2365308	2365308	0	1	2365308	2365308	2365308	2365308	1	1	0.0	o__Clostridiales (UID1212)	172	263	149	3	258	2	0	0	0	98.52	1.34	0.0	51.0	3	3	0	Flavonifractor_plautii	100.0	2.37	Flavonifractor_plautii	366.603707001372	complete	Metabat2	A_Nanopore_metaflye+polish	bin.11	Nanopore_metaflye	bin.11.fa	Nanopore	1.0	1.0	0.0	1527.0	2887.0	0.0	
