accession	ambiguous_bases	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation	gtdb_type_designation_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
GB_GCA_000016485.1	11	99.06	0.29	776	f__Pasteurellaceae (UID4935)	457	0	1649417	87.4005930504	1	717306	38.0093907262	1887192	RS_GCF_001457655.1	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus influenzae	not type material	none	f	1	1	1887192	1887192	1887192	6	3110	CP000672.1-#4	1887192	5	109	CP000672.1-#4	3110	5642	0	99.421	LFDO01000026.233.3365	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus influenzae	1887192	1887192	t	f	f	1887192	1887192	Complete Genome	ASM1648v1	n/a	PRJNA16401	SAMN02603085	none	none	none	2007-6-7	GCA_000016485.1	none	full	none	none	none	1	0	Haemophilus influenzae PittGG	1667	na	31	none	none	none	none	none	2007/06/07	0	727	6	PittGG	Center for Genomic Sciences, Allegheny-Singer Research Institute	374931	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus influenzae	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__Haemophilus influenzae;x__Haemophilus influenzae PittGG	0	1887192	11	55	none	1887192	0	none	1966	1	1887192	6	1535	2791	0	99.479	109647	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__influenzae	1535	CP000672.1-#4	1535	2835	0	100	MTGI01000020.51.1598	Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;Haemophilus influenzae	0	20	55	1
GB_GCA_000017965.1	0	96.69	0.99	275	c__Bacilli (UID259)	151	0	3977094	82.5557767647	2	1788962	37.1349401127	4817463	RS_GCF_001629735.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus;s__Lysinibacillus sphaericus_A	not type material	none	f	1	1	4639821	4639821	4639821	10	2927	CP000817.1-#5	4639821	11	111	CP000817.1-#2	2917	5387	0	100	CP000817.12129.15045	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus;Lysinibacillus sphaericus C3-41	2408731	2408731	t	f	f	4639821	4639821	Complete Genome	ASM1796v1	n/a	PRJNA19619	SAMN02604328	none	none	none	2008-2-27	GCA_000017965.1	none	full	none	none	none	2	0	Lysinibacillus sphaericus C3-41	4771	na	31	none	none	none	none	none	2008/02/27	0	1421	10	C3-41	Wuhan Institute of Virology, Chinese Academy of Sciences	444177	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Lysinibacillus;s__Lysinibacillus sphaericus	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Lysinibacillus;s__Lysinibacillus sphaericus;x__Lysinibacillus sphaericus C3-41	0	4817463	11	85	none	4817463	0	none	4835	2	4639821	10	1550	2856	0	99.935	2721836	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus;s__boronitolerans	1550	CP000817.1-#9	1545	2854	0	100	CP000817.49243.50787	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus;Lysinibacillus sphaericus C3-41	0	20	85	0
GB_GCA_000018565.1	0	98.18	1.82	161	k__Bacteria (UID1452)	110	0	6015544	88.6538362344	3	3453669	50.898307108	6785430	GB_GCA_000018565.1	t	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__Herpetosiphon;s__Herpetosiphon aurantiacus	type strain of species	LPSN; DSMZ; StrainInfo	t	1	1	6346587	6346587	6346587	5	2943	CP000875.1-#5	none	0	none	none	2942	5389	0	99.728	FW306006.4624365.4627324	Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Chloroflexaceae;Herpetosiphon;Herpetosiphon aurantiacus	2261810	2261810	f	f	t	6346587	6346587	Complete Genome	ASM1856v1	n/a	PRJNA16523	SAMN00623048	none	none	none	2007-11-13	GCA_000018565.1	none	full	none	none	none	3	1	Herpetosiphon aurantiacus DSM 785	5278	na	15	none	none	none	none	none	2007/11/13	0	65	5	none	US DOE Joint Genome Institute	316274	d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Herpetosiphonales;f__Herpetosiphonaceae;g__Herpetosiphon;s__Herpetosiphon aurantiacus	d__Bacteria;x__Terrabacteria group;p__Chloroflexi;c__Chloroflexia;o__Herpetosiphonales;f__Herpetosiphonaceae;g__Herpetosiphon;s__Herpetosiphon aurantiacus;x__Herpetosiphon aurantiacus DSM 785	0	6785430	11	51	assembly from type material	6785430	0	none	5617	3	6346587	5	1474	2723	0	100	162705	k__Bacteria;p__Chloroflexi;c__Chloroflexi;o__Herpetosiphonales;f__;g__;s__	1477	CP000875.1	1473	2721	0	100	CP000875.4006745.4008219	Bacteria;Chloroflexi;Chloroflexia;Chloroflexales;Herpetosiphonaceae;Herpetosiphon;Herpetosiphon aurantiacus DSM 785	0	20	51	0
GB_GCA_000021145.1	0	100	0	689	f__Moraxellaceae (UID4680)	365	0	3281634	87.2547348684	1	1468426	39.0436963122	3760981	RS_GCF_002811175.1	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	not type material	none	f	1	1	3760981	3760981	3760981	6	2888	CP001172.1	3760981	6	111	CP001172.1	2888	5334	0	100	CVLF01000115.340.3241	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter baumannii	3760981	3760981	t	f	f	3760981	3760981	Complete Genome	ASM2114v1	n/a	PRJNA30993	SAMN02603889	none	none	none	2008-11-24	GCA_000021145.1	none	full	none	none	none	1	0	Acinetobacter baumannii AB307-0294	none	na	18	none	none	none	none	none	2008/11/24	0	470	6	AB307-0294	SUNY-Buffalo-CoE	557600	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter baumannii	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;x__Acinetobacter calcoaceticus/baumannii complex;s__Acinetobacter baumannii;x__Acinetobacter baumannii AB307-0294	0	3760981	11	73	none	3760981	0	none	3467	1	3760981	6	none	none	none	none	none	none	1533	CP001172.1-#4	1533	2824	0	99.935	MSPL01000012.173.1716	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter baumannii	0	20	73	0
GB_GCA_000022965.1	3	100	0	501	f__Bifidobacteriaceae (UID1460)	224	0	1681291	86.7323056225	1	1172434	60.4821303289	1938483	RS_GCF_000260715.1	f	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis	type strain of subspecies	LPSN; DSMZ; StrainInfo	f	1	1	1938483	1938483	1938483	4	3068	CP001606.1-#3	1938483	4	99	CP001606.1-#2	3068	5659	0	100	CP001606.1862373.1865501	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis subsp. lactis DSM 10140	1938483	1938483	t	f	f	1938483	1938483	Complete Genome	ASM2296v1	n/a	PRJNA32893	SAMN02603171	none	none	none	2009-6-19	GCA_000022965.1	none	full	none	none	none	1	0	Bifidobacterium animalis subsp. lactis DSM 10140	none	representative genome	12	none	none	none	none	none	2009/06/19	0	28025	4	DSM 10140	Danisco USA Inc.	555970	d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis	d__Bacteria;x__Terrabacteria group;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis;sb__Bifidobacterium animalis subsp. lactis;x__Bifidobacterium animalis subsp. lactis DSM 10140	0	1938483	11	51	assembly from type material	1938483	0	none	1571	1	1938483	4	none	none	none	none	none	none	1535	CP001606.1-#3	1535	2835	0	100	CP001606.1874657.1876206	Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis subsp. lactis DSM 10140	0	20	51	0
GB_GCA_000023545.1	0	99.97	0.36	876	f__Enterobacteriaceae (UID5054)	305	0	3998692	85.4521792091	1	2574403	55.0150765581	4679450	RS_GCF_000400505.1	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Dickeya;s__Dickeya paradisiaca	not type material	none	f	1	1	4679450	4679450	4679450	7	2905	CP001654.1-#5	4679450	7	360	CP001654.1-#7	2904	5363	0	100	CP001654.4388223.4391129	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Dickeya;Dickeya paradisiaca Ech703	4679450	4679450	t	f	f	4679450	4679450	Complete Genome	ASM2354v1	n/a	PRJNA33069	SAMN02598494	none	none	none	2009-6-26	GCA_000023545.1	none	full	none	none	none	1	3	Dickeya paradisiaca Ech703	3971	na	22	none	none	none	none	none	2009/06/26	0	69223	7	Ech703	US DOE Joint Genome Institute	579405	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Dickeya;s__Dickeya paradisiaca	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Dickeya;s__Dickeya paradisiaca;x__Dickeya paradisiaca Ech703	0	4679450	11	74	none	4679450	0	none	4008	1	4679450	7	1539	2843	0	100	2775244	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Dickeya;s__	1539	CP001654.1-#5	1531	2828	0	100	CP001654.475883.477413	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Dickeya;Dickeya paradisiaca Ech703	0	20	74	0
GB_GCA_000023565.1	0	99.92	0.36	876	f__Enterobacteriaceae (UID5054)	305	0	4095861	85.084861319	1	2624381	54.5172537431	4813854	RS_GCF_000406105.1	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Dickeya;s__Dickeya chrysanthemi	not type material	none	f	1	1	4813854	4813854	4813854	7	2906	CP001655.1-#6	4813854	7	358	CP001655.1-#7	2905	5365	0	100	CP001655.4706222.4709129	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Dickeya;Dickeya chrysanthemi Ech1591	4813854	4813854	t	f	f	4813854	4813854	Complete Genome	ASM2356v1	n/a	PRJNA31295	SAMN02598480	none	none	none	2009-7-2	GCA_000023565.1	none	full	none	none	none	1	3	Dickeya chrysanthemi Ech1591	4168	na	22	none	none	none	none	none	2009/07/02	0	556	7	Ech1591	US DOE Joint Genome Institute	561229	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Dickeya;s__Dickeya chrysanthemi	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Dickeya;s__Dickeya chrysanthemi;x__Dickeya chrysanthemi Ech1591	0	4813854	11	74	none	4813854	0	none	4225	1	4813854	7	1532	2758	0	99.151	73843	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Erwinia;s__chrysanthemi	1538	CP001655.1-#6	1530	2826	0	100	CP001655.400069.401598	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Dickeya;Dickeya chrysanthemi Ech1591	0	20	74	0
GB_GCA_000024525.1	0	100	0.89	454	o__Cytophagales (UID2936)	336	25	7481814	88.1119617376	9	4258276	50.1489414172	8491258	GB_GCA_000024525.1	t	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Spirosoma;s__Spirosoma linguale	type strain of species	LPSN; DSMZ; StrainInfo	t	1	1	8078757	8078757	8078757	4	2807	CP001769.1-#2	none	0	none	none	2807	5184	0	100	CP001769.7143652.7146483	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Spirosoma;Spirosoma linguale DSM 74	943473	943473	f	f	t	8078757	8078757	Complete Genome	ASM2452v1	n/a	PRJNA28817	SAMN00002598	none	none	none	2010-1-13	GCA_000024525.1	none	full	none	none	none	9	2	Spirosoma linguale DSM 74	6947	na	11	none	none	none	none	none	2010/01/13	0	108	4	DSM 74	US DOE Joint Genome Institute (JGI-PGF)	504472	d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma;s__Spirosoma linguale	d__Bacteria;x__FCB group;x__Bacteroidetes/Chlorobi group;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma;s__Spirosoma linguale;x__Spirosoma linguale DSM 74	0	8491258	11	49	assembly from type material	8491258	0	none	7129	9	8078757	4	1502	2774	0	100	3946733	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma;s__	1503	CP001769.1-#2	1495	2761	0	100	CP001769.7141933.7143427	Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Spirosomaceae;Spirosoma;Spirosoma linguale DSM 74	0	20	47	0
GB_GCA_000026585.1	0	100	0.38	471	o__Lactobacillales (UID543)	264	0	1918692	85.131686894	1	930422	41.2824957749	2253793	GB_GCA_900637675.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus equi	not type material	none	f	1	1	2253793	2253793	2253793	6	2895	FM204883.1-#6	2253793	6	109	FM204883.1-#6	2895	5347	0	100	CVZN01000007.43001.45898	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus equi subsp. equi	2253793	2253793	t	f	f	2253793	2253793	Complete Genome	ASM2658v1	n/a	PRJEA30765	SAMEA2272426	none	none	none	2009-3-26	GCA_000026585.1	none	full	none	none	none	1	0	Streptococcus equi subsp. equi 4047	2243	na	18	none	none	none	none	none	2009/03/26	0	1336	6	4047	The Wellcome Trust Sanger Institute	553482	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus equi	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;x__Streptococcus dysgalactiae group;s__Streptococcus equi;sb__Streptococcus equi subsp. equi;x__Streptococcus equi subsp. equi 4047	0	2253793	11	66	none	2253793	0	none	2171	1	2253793	6	1549	2856	0	99.935	4307897	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__equi	1549	FM204883.1-#6	1549	2861	0	100	FODQ01000067.110.1666	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus equi	0	20	66	0
GB_GCA_000027105.1	0	99.51	0.37	1183	s__difficile (UID1169)	308	0	3472940	82.8599166042	3	1207358	28.8073957938	4191339	RS_GCF_000438845.1	f	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile	not type material	none	f	1	1	4047733	4191339	4191339	10	2893	FN545816.1	4191339	8	105	FN545816.1	2893	5343	0	100	FN538970.2982719.2985671	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Clostridioides;Clostridioides difficile CD196	1397046	4191339	t	f	f	4047733	4191339	Chromosome	ASM2710v1	n/a	PRJNA38039	SAMEA3138243	3	4047733	United Kingdom	2009-10-1	GCA_000027105.1	none	full	none	none	none	1	0	Clostridioides difficile R20291	3574	na	27	none	none	none	none	none	2009/10/01	2	1496	9	R20291	Wellcome Trust Sanger Institute	645463	d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile;x__Clostridioides difficile R20291	200	4191339	11	0	none	4191139	0	none	3704	1	4191339	10	1500	2737	0	99.6	606927	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__[Clostridium];s__difficile	1500	FN545816.1	1500	2771	0	100	FN545816.378649.380273	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Clostridioides;Clostridioides difficile R20291	200	18	65	0
GB_GCA_000091085.2	69	99.49	0	301	k__Bacteria (UID2993)	197	0	1101430	89.2290492837	2	500824	40.5750229277	1234385	RS_GCF_000007205.1	f	d__Bacteria;p__Verrucomicrobiota_A;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydophila;s__Chlamydophila pneumoniae	not type material	none	f	1	1	1229853	1229853	1229853	1	2928	AE002161.1	1229853	1	107	AE002161.1	2928	5408	0	100	HV214386.1002344.1005277	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiaceae;Chlamydia;Chlamydophila pneumoniae	617192	617192	t	f	f	1229853	1229853	Complete Genome	ASM9108v2	n/a	PRJNA247	SAMN02641564	none	none	none	2001-01-09	GCA_000091085.2	none	full	none	none	none	2	0	Chlamydia pneumoniae AR39	1116	na	3	none	none	none	none	none	2001/01/09	0	83558	0	AR39	TIGR	115711	d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia pneumoniae	d__Bacteria;x__PVC group;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;x__Chlamydia/Chlamydophila group;g__Chlamydia;s__Chlamydia pneumoniae;x__Chlamydia pneumoniae AR39	0	1229853	11	38	none	1229853	0	none	1063	2	1229853	1	1551	2832	0	99.613	4365357	k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__pneumoniae	1551	AE002161.1	1551	2865	0	100	L06108.1.1554	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiaceae;Chlamydia;Chlamydophila pneumoniae	0	20	38	0
GB_GCA_000091165.1	0	96.26	2.59	187	k__Bacteria (UID3187)	116	0	2428121	88.2037696151	1	1612667	58.5816392733	2752854	GB_GCA_000091165.1	t	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Methylomirabilales;f__Methylomirabilaceae;g__Methylomirabilis;s__Methylomirabilis oxyfera_B	not type material	none	f	1	1	2752854	2752854	2752854	1	3023	FP565575.1	2752854	1	111	FP565575.1	3022	5581	0	100	FP565575.1582548.1585573	Bacteria;Rokubacteria;NC10;Methylomirabilales;Methylomirabilaceae;Candidatus Methylomirabilis;Candidatus Methylomirabilis oxyfera	2752854	2752854	t	f	f	2752854	2752854	Complete Genome	ASM9116v1	n/a	PRJNA40193	SAMEA3138294	none	none	none	2009-9-16	GCA_000091165.1	derived from environmental_sample	full	none	none	52.17 N 6.41 E	1	0	Candidatus Methylomirabilis oxyfera	3092	na	3	none	none	none	none	none	2009/09/16	0	671143	1	none	Genoscope	671143	d__Bacteria;p__candidate division NC10;c__;o__;f__;g__Candidatus Methylomirabilis;s__Candidatus Methylomirabilis oxyfera	d__Bacteria;x__unclassified Bacteria;x__Bacteria candidate phyla;p__candidate division NC10;g__Candidatus Methylomirabilis;s__Candidatus Methylomirabilis oxyfera	0	2752854	11	47	none	2752854	0	none	2716	1	2752854	1	1558	2878	0	100	2930693	k__Bacteria;p__NC10;c__12-24;o__Methylomirabiliales;f__Methylomirabiliaceae;g__Candidatus Methylomirabilis;s__	1558	FP565575.1	1549	2861	0	100	FP565575.1586103.1587651	Bacteria;Rokubacteria;NC10;Methylomirabilales;Methylomirabilaceae;Candidatus Methylomirabilis;Candidatus Methylomirabilis oxyfera	0	20	47	1
GB_GCA_000092525.1	0	99.44	0.11	1240	f__Enterobacteriaceae (UID5167)	324	0	4318061	85.4162430202	5	2566408	50.7665198377	5055316	RS_GCF_002950215.1	f	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia flexneri	not type material	none	f	1	1	4825265	4825265	4825265	7	2900	CP000038.1	4825265	7	354	CP000038.1-#7	2900	5356	0	100	AMKH01000062.101487.104388	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;Shigella sonnei 08-7761	1011063	1011063	t	f	f	4825265	4825265	Complete Genome	ASM9252v1	n/a	PRJNA13151	SAMN02603602	none	none	none	2007-4-5	GCA_000092525.1	none	full	none	none	none	5	0	Shigella sonnei Ss046	4476	na	22	none	none	none	none	none	2007/04/05	0	624	7	Ss046	Microbial Genome Center of ChMPH	300269	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella sonnei	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Shigella;s__Shigella sonnei;x__Shigella sonnei Ss046	0	5055316	11	97	none	5055316	0	none	5102	5	4825265	7	1540	2782	0	99.286	2235399	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia;s__coli	1538	CP000038.1	1538	2841	0	100	CP019689.1477154.1478709	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Escherichia-Shigella;Shigella sonnei	0	20	97	1
GB_GCA_000143435.1	2503	99.48	0.52	350	o__Lactobacillales (UID374)	191	0	1846395	86.4361291265	4	704625	33.0246269863	2136138	RS_GCF_001435955.1	f	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus salivarius	not type material	none	f	1	1	1828169	1828169	1828169	7	2918	CP002034.1	1828169	7	110	CP002034.1-#6	2919	5330	0	99.657	AFMN01000001.786371.789287	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus salivarius NIAS840	534034	534034	t	f	f	1828169	1828169	Complete Genome	ASM14343v1	n/a	PRJNA43535	SAMN02604101	none	none	none	2010-7-7	GCA_000143435.1	none	full	none	none	none	4	0	Lactobacillus salivarius CECT 5713	1552	na	35	none	none	none	none	none	2010/07/07	0	1624	7	CECT 5713	Universidad Complutense de Madrid	712961	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus salivarius	d__Bacteria;x__Terrabacteria group;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus salivarius;x__Lactobacillus salivarius CECT 5713	0	2136138	11	85	none	2136138	0	none	2189	4	1828169	7	1558	2874	0	99.936	2168897	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__salivarius	1558	CP002034.1-#6	1556	2874	0	100	AFMN01000001.961173.962738	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;Lactobacillus salivarius NIAS840	0	20	76	0
