sample	binmethod	binname	pipeline_y	group	tRNA_x	rna.16S_x	rna.23S_x	rna.5S_x	Completeness	Contamination	quality	user_genome	classification	fastani_reference	Bin	tRNA_y	Sample	rna.16S_y	rna.23S_y	rna.5S_y	pipeline	tRNA_compare	rna.16S_compare	rna.5S_compare	rna.23S_compare	accession	checkm_completeness	checkm_contamination	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	ncbi_assembly_level	ncbi_date	ncbi_rrna_count	ncbi_trna_count
A_Nanopore_OPERA-MS+polish	bin3C	bin0021	Nanopore_OPERA-MS	mNGS+Nanopore	46.0	2	2	2	99.04	0.0	complete	A_Nanopore_OPERA-MS+polish+bin0021	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	RS_GCF_000210575.1	GCF_000210575.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	Nanopore_OPERA-MS	0.9787234042553192	2.0	2.0	2.0	RS_GCF_000210575.1	97.12	0.0	RS_GCF_000210575.1	t	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	Chromosome	2010-3-25	3	45
A_PacBio_OPERA-MS	bin3C	bin0028	PacBio_OPERA-MS	mNGS+PacBio	24.0	1	1	1	96.75	2.4	complete	A_PacBio_OPERA-MS+bin0028	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	RS_GCF_000210575.1	GCF_000210575.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	PacBio_OPERA-MS	0.5106382978723404	1.0	1.0	1.0	RS_GCF_000210575.1	97.12	0.0	RS_GCF_000210575.1	t	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	Chromosome	2010-3-25	3	45
A_mNGS_metaSPAdes+polish	MetaBAT2	bin.105	mNGS_metaSPAdes	mNGS	9.0	0	0	0	53.3	1.75	medium-quality	A_mNGS_metaSPAdes+polish+bin.105	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia hansenii	RS_GCF_002222595.2	GCF_002222595.2	70	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	5	5	0	mNGS_metaSPAdes	0.1285714285714285	0.0	1.0	0.0	RS_GCF_002222595.2	99.36	0.0	RS_GCF_002222595.2	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia hansenii	Complete Genome	2017-8-30	15	65
A_Nanopore_OPERA-MS+polish	MetaBAT2	bin.55	Nanopore_OPERA-MS	mNGS+Nanopore	6.0	0	0	0	68.8	1.49	medium-quality	A_Nanopore_OPERA-MS+polish+bin.55	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia hansenii	RS_GCF_002222595.2	GCF_002222595.2	70	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	5	5	0	Nanopore_OPERA-MS	0.0857142857142857	0.0	1.0	0.0	RS_GCF_002222595.2	99.36	0.0	RS_GCF_002222595.2	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia hansenii	Complete Genome	2017-8-30	15	65
A_PacBio_OPERA-MS	MetaBAT2	bin.45	PacBio_OPERA-MS	mNGS+PacBio	11.0	0	0	0	80.12	0.64	medium-quality	A_PacBio_OPERA-MS+bin.45	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia hansenii	RS_GCF_002222595.2	GCF_002222595.2	70	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	5	5	0	PacBio_OPERA-MS	0.1571428571428571	0.0	1.0	0.0	RS_GCF_002222595.2	99.36	0.0	RS_GCF_002222595.2	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia hansenii	Complete Genome	2017-8-30	15	65
A_mNGS_metaSPAdes+polish	MetaBAT2	bin.126	mNGS_metaSPAdes	mNGS	10.0	0	0	0	62.28	0.0	medium-quality	A_mNGS_metaSPAdes+polish+bin.126	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	RS_GCF_003435375.1	GCF_003435375.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	mNGS_metaSPAdes	0.2127659574468085	0.0	0.0	0.0	RS_GCF_003435375.1	99.37	0.0	RS_GCF_003435375.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	Scaffold	2018-8-31	3	55
A_Nanopore_metaflye+polish	MetaBAT2	bin.30	Nanopore_metaflye	Nanopore	59.0	4	3	4	90.93	1.9	complete	A_Nanopore_metaflye+polish+bin.30	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	RS_GCF_003435375.1	GCF_003435375.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	Nanopore_metaflye	1.25531914893617	4.0	4.0	3.0	RS_GCF_003435375.1	99.37	0.0	RS_GCF_003435375.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	Scaffold	2018-8-31	3	55
A_Nanopore_OPERA-MS+polish	MetaBAT2	bin.140	Nanopore_OPERA-MS	mNGS+Nanopore	18.0	0	0	0	54.39	0.0	medium-quality	A_Nanopore_OPERA-MS+polish+bin.140	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	RS_GCF_003435375.1	GCF_003435375.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	Nanopore_OPERA-MS	0.3829787234042553	0.0	0.0	0.0	RS_GCF_003435375.1	99.37	0.0	RS_GCF_003435375.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	Scaffold	2018-8-31	3	55
A_PacBio_metaflye	MetaBAT2	bin.114	PacBio_metaflye	PacBio	21.0	0	0	0	63.29	0.0	medium-quality	A_PacBio_metaflye+bin.114	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	RS_GCF_003435375.1	GCF_003435375.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	PacBio_metaflye	0.4468085106382978	0.0	0.0	0.0	RS_GCF_003435375.1	99.37	0.0	RS_GCF_003435375.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	Scaffold	2018-8-31	3	55
A_PacBio_metaflye	MetaBAT2	bin.114	PacBio_metaflye	PacBio	21.0	0	0	0	63.29	0.0	medium-quality	A_PacBio_metaflye+bin.114	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	RS_GCF_003435375.1	GCF_003435375.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	PacBio_metaflye	0.4468085106382978	0.0	0.0	0.0	RS_GCF_003435375.1	99.37	0.0	RS_GCF_003435375.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	Scaffold	2018-8-31	3	55
A_PacBio_OPERA-MS	MetaBAT2	bin.173	PacBio_OPERA-MS	mNGS+PacBio	18.0	0	0	0	52.63	0.0	medium-quality	A_PacBio_OPERA-MS+bin.173	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	RS_GCF_003435375.1	GCF_003435375.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	PacBio_OPERA-MS	0.3829787234042553	0.0	0.0	0.0	RS_GCF_003435375.1	99.37	0.0	RS_GCF_003435375.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	Scaffold	2018-8-31	3	55
A_mNGS_metaSPAdes+polish	bin3C	bin0018	mNGS_metaSPAdes	mNGS	41.0	0	0	0	98.1	3.32	complete	A_mNGS_metaSPAdes+polish+bin0018	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	RS_GCF_003435375.1	GCF_003435375.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	mNGS_metaSPAdes	0.8723404255319149	0.0	0.0	0.0	RS_GCF_003435375.1	99.37	0.0	RS_GCF_003435375.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	Scaffold	2018-8-31	3	55
A_Nanopore_metaflye+polish	bin3C	bin010	Nanopore_metaflye	Nanopore	83.0	6	6	6	98.52	8.39	medium-quality	A_Nanopore_metaflye+polish+bin010	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	RS_GCF_003435375.1	GCF_003435375.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	Nanopore_metaflye	1.7659574468085106	6.0	6.0	6.0	RS_GCF_003435375.1	99.37	0.0	RS_GCF_003435375.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	Scaffold	2018-8-31	3	55
A_Nanopore_OPERA-MS+polish	bin3C	bin0019	Nanopore_OPERA-MS	mNGS+Nanopore	63.0	3	3	3	99.37	4.11	complete	A_Nanopore_OPERA-MS+polish+bin0019	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	RS_GCF_003435375.1	GCF_003435375.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	Nanopore_OPERA-MS	1.3404255319148937	3.0	3.0	3.0	RS_GCF_003435375.1	99.37	0.0	RS_GCF_003435375.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	Scaffold	2018-8-31	3	55
A_PacBio_OPERA-MS	bin3C	bin0026	PacBio_OPERA-MS	mNGS+PacBio	64.0	5	5	5	100.0	0.63	complete	A_PacBio_OPERA-MS+bin0026	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	RS_GCF_003435375.1	GCF_003435375.1	47	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	1	1	1	PacBio_OPERA-MS	1.3617021276595744	5.0	5.0	5.0	RS_GCF_003435375.1	99.37	0.0	RS_GCF_003435375.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp900066535	Scaffold	2018-8-31	3	55
A_mNGS_metaSPAdes+polish	MetaBAT2	bin.13	mNGS_metaSPAdes	mNGS	33.0	0	0	3	100.0	0.0	complete	A_mNGS_metaSPAdes+polish+bin.13	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Cloacibacillus;s__Cloacibacillus evryensis	RS_GCF_000585335.1	GCF_000585335.1	49	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	5	5	5	mNGS_metaSPAdes	0.673469387755102	0.0	0.6	0.0	RS_GCF_000585335.1	100.0	0.0	RS_GCF_000585335.1	t	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Cloacibacillus;s__Cloacibacillus evryensis	Scaffold	2014-3-4	15	48
A_Nanopore_OPERA-MS+polish	MetaBAT2	bin.166	Nanopore_OPERA-MS	mNGS+Nanopore	33.0	0	0	3	100.0	0.0	complete	A_Nanopore_OPERA-MS+polish+bin.166	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Cloacibacillus;s__Cloacibacillus evryensis	RS_GCF_000585335.1	GCF_000585335.1	49	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	5	5	5	Nanopore_OPERA-MS	0.673469387755102	0.0	0.6	0.0	RS_GCF_000585335.1	100.0	0.0	RS_GCF_000585335.1	t	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Cloacibacillus;s__Cloacibacillus evryensis	Scaffold	2014-3-4	15	48
A_PacBio_OPERA-MS	MetaBAT2	bin.79	PacBio_OPERA-MS	mNGS+PacBio	33.0	0	0	3	100.0	0.0	complete	A_PacBio_OPERA-MS+bin.79	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Cloacibacillus;s__Cloacibacillus evryensis	RS_GCF_000585335.1	GCF_000585335.1	49	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	5	5	5	PacBio_OPERA-MS	0.673469387755102	0.0	0.6	0.0	RS_GCF_000585335.1	100.0	0.0	RS_GCF_000585335.1	t	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Cloacibacillus;s__Cloacibacillus evryensis	Scaffold	2014-3-4	15	48
A_mNGS_metaSPAdes+polish	bin3C	bin0021	mNGS_metaSPAdes	mNGS	33.0	1	1	3	100.0	0.0	complete	A_mNGS_metaSPAdes+polish+bin0021	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Cloacibacillus;s__Cloacibacillus evryensis	RS_GCF_000585335.1	GCF_000585335.1	49	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	5	5	5	mNGS_metaSPAdes	0.673469387755102	0.2	0.6	0.2	RS_GCF_000585335.1	100.0	0.0	RS_GCF_000585335.1	t	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Cloacibacillus;s__Cloacibacillus evryensis	Scaffold	2014-3-4	15	48
A_Nanopore_OPERA-MS+polish	bin3C	bin0031	Nanopore_OPERA-MS	mNGS+Nanopore	33.0	1	1	3	96.55	0.0	complete	A_Nanopore_OPERA-MS+polish+bin0031	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Cloacibacillus;s__Cloacibacillus evryensis	RS_GCF_000585335.1	GCF_000585335.1	49	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	5	5	5	Nanopore_OPERA-MS	0.673469387755102	0.2	0.6	0.2	RS_GCF_000585335.1	100.0	0.0	RS_GCF_000585335.1	t	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Cloacibacillus;s__Cloacibacillus evryensis	Scaffold	2014-3-4	15	48
A_PacBio_OPERA-MS	bin3C	bin0035	PacBio_OPERA-MS	mNGS+PacBio	33.0	1	1	3	96.55	0.0	complete	A_PacBio_OPERA-MS+bin0035	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Cloacibacillus;s__Cloacibacillus evryensis	RS_GCF_000585335.1	GCF_000585335.1	49	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	5	5	5	PacBio_OPERA-MS	0.673469387755102	0.2	0.6	0.2	RS_GCF_000585335.1	100.0	0.0	RS_GCF_000585335.1	t	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Cloacibacillus;s__Cloacibacillus evryensis	Scaffold	2014-3-4	15	48
A_mNGS_metaSPAdes+polish	MetaBAT2	bin.141	mNGS_metaSPAdes	mNGS	26.0	0	0	0	56.14	0.0	medium-quality	A_mNGS_metaSPAdes+polish+bin.141	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques	RS_GCF_000153925.1	GCF_000153925.1	50	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	8	15	9	mNGS_metaSPAdes	0.52	0.0	0.0	0.0	RS_GCF_000153925.1	99.42	0.0	RS_GCF_000153925.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques	Scaffold	2007-05-25	27	55
A_PacBio_metaflye	MetaBAT2	bin.82	PacBio_metaflye	PacBio	39.0	4	4	4	50.29	0.0	medium-quality	A_PacBio_metaflye+bin.82	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques	RS_GCF_000153925.1	GCF_000153925.1	50	/home3/ZXMGroup/VIROME/G3compare/RealData/merge/04GTDB_tk+RNA	8	15	9	PacBio_metaflye	0.78	0.5	0.4444444444444444	0.2666666666666666	RS_GCF_000153925.1	99.42	0.0	RS_GCF_000153925.1	t	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques	Scaffold	2007-05-25	27	55
